time,temp0,hum0,cpt0,temp1,hum1,cpt1,temp2,hum2,cpt2,temp3,hum3,cpt3,temp4,hum4,cpt4,temp5,hum5,cpt5,temp6,hum6,cpt6,temp7,hum7,cpt7,temp8,hum8,cpt8,temp9,hum9,cpt9,targ0,meas0,temp_start0,temp_end0,open0,timeout0,cpt0,targ1,meas1,temp_start1,temp_end1,open1,timeout1,cpt1,targ2,meas2,temp_start2,temp_end2,open2,timeout2,cpt2,targ3,meas3,temp_start3,temp_end3,open3,timeout3,cpt3,targ4,meas4,temp_start4,temp_end4,open4,timeout4,cpt4
30_10_23_14_55,0,0,0,21.00,44.40,4962,20.30,55.60,4966,0,0,0,19.10,55.60,4861,19.80,51.90,4954,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.00,20.74,20.74,C,0,0,17.90,20.10,20.74,20.55,C,1,0,21.20,0.00,20.74,18.17,C,1022,422,18.10,19.10,20.74,64.10,C,12,0,20.20,19.80,20.74,64.10,O,1,0
30_10_23_15_26,0,0,0,21.20,44.50,5015,20.10,55.40,5018,0,0,0,19.10,55.60,5029,19.80,51.90,5026,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.74,20.74,C,0,0,17.90,20.10,20.74,20.55,C,0,0,21.20,0.00,20.74,18.17,C,1030,430,18.10,19.10,20.74,64.10,C,19,0,20.20,19.80,20.74,64.10,O,1,0
30_10_23_15_56,0,0,0,21.10,44.40,5094,20.10,55.40,5086,0,0,0,19.00,55.50,5082,19.80,52.00,5076,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.74,20.74,C,1,0,17.90,20.10,20.74,20.62,C,4,0,21.20,0.00,20.74,18.23,C,1037,437,18.10,19.10,20.74,64.10,C,5,0,20.20,19.80,20.74,64.10,O,0,0
30_10_23_16_27,0,0,0,21.20,44.50,5154,20.10,55.40,5151,0,0,0,19.10,55.60,5146,19.80,51.90,5162,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.68,20.74,C,0,0,17.90,20.10,20.68,20.55,C,1,0,21.20,0.00,20.68,18.30,C,1045,445,18.10,19.10,20.68,64.10,C,0,0,20.20,19.80,20.68,64.10,O,1,0
30_10_23_16_57,0,0,0,21.20,44.50,5218,20.10,55.50,5230,0,0,0,19.10,55.60,5237,20.10,52.10,5226,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.62,20.62,C,1,0,17.90,20.10,20.62,20.55,C,0,0,21.20,0.00,20.62,18.30,C,1051,451,18.10,19.10,20.62,64.10,C,1,0,20.20,20.10,20.62,64.10,O,0,0
30_10_23_17_27,0,0,0,21.20,44.50,5239,20.10,55.40,5301,0,0,0,19.10,55.60,5291,19.80,52.00,5296,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.62,20.55,C,6,0,17.90,20.10,20.62,20.55,C,0,0,21.20,0.00,20.62,18.30,C,1059,459,18.10,19.10,20.62,64.10,C,0,0,20.20,19.80,20.62,64.10,O,1,0
30_10_23_17_58,0,0,0,21.20,44.50,5239,20.10,55.40,5346,0,0,0,19.00,55.50,5350,19.70,51.90,5344,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,15,0,17.90,20.10,20.49,20.55,C,0,0,21.20,0.00,20.49,18.36,C,1068,468,18.10,19.00,20.49,64.10,C,1,0,20.20,19.70,20.49,64.10,O,0,0
30_10_23_18_28,0,0,0,21.20,44.60,5400,20.10,55.40,5357,0,0,0,19.00,55.50,5392,19.80,52.00,5395,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.43,20.43,C,2,0,17.90,20.10,20.43,20.55,C,7,0,21.20,0.00,20.43,18.36,C,1077,477,18.10,19.00,20.43,64.10,C,0,0,20.20,19.80,20.43,64.10,O,2,0
30_10_23_18_58,0,0,0,21.20,44.50,5439,20.10,55.40,5357,0,0,0,19.00,55.50,5392,19.80,51.90,5431,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,1,0,17.90,20.10,20.49,20.55,C,17,0,21.20,0.00,20.49,18.42,C,1086,486,18.10,19.00,20.49,64.10,C,9,0,20.20,19.80,20.49,64.10,O,0,0
30_10_23_19_29,0,0,0,21.20,44.50,5471,20.10,55.50,5475,0,0,0,19.00,55.50,5392,19.80,51.90,5482,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.43,20.43,C,1,0,17.90,20.10,20.43,20.55,C,0,0,21.20,0.00,20.43,18.42,C,1096,496,18.10,19.00,20.43,64.10,C,19,0,20.20,19.80,20.43,64.10,O,0,0
30_10_23_19_59,0,0,0,21.20,44.50,5559,20.10,55.40,5562,0,0,0,19.00,55.40,5554,19.80,52.00,5547,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.36,20.43,C,1,0,17.90,20.10,20.36,20.55,C,0,0,21.20,0.00,20.36,18.42,C,1102,502,18.10,19.00,20.36,64.10,C,1,0,20.20,19.80,20.36,64.10,O,0,0
30_10_23_20_29,0,0,0,21.20,44.50,5601,20.00,55.30,5624,0,0,0,19.00,55.40,5622,19.80,51.90,5630,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.36,20.36,C,3,0,17.90,20.00,20.36,20.55,C,1,0,21.20,0.00,20.36,18.48,C,1110,510,18.10,19.00,20.43,64.10,C,0,0,20.20,19.80,20.43,64.10,O,1,0
30_10_23_20_59,0,0,0,21.10,44.40,5670,20.10,55.50,5686,0,0,0,19.00,55.50,5683,19.80,51.90,5677,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.43,20.43,C,1,0,17.90,20.20,20.43,20.55,C,1,0,21.20,0.00,20.43,18.48,C,1118,518,18.10,19.00,20.43,64.10,C,1,0,20.20,19.80,20.43,64.10,O,0,0
